Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-15,Senior,DCMS1011,N/D,SCS1,"Deputy Director, Head of Efficiency",Responsible for leading the Department?s efficiency and reform programme,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,0,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1012,N/D,SCS1,"Deputy Director, BDUK, Superfast Broadband Programme",Responsible for the Department's programme to support increased coverage of superfast broadband to 90% of UK premises,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2003,0,1,N/A,N/A,Operational Delivery,,
Mar-15,Senior,DCMS1013,N/D,SCS1,"Deputy Director, Head of Tourism and Heritage","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2006,726794,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1014,N/D,SCS1,"Deputy Director, Head of Strategy and Governance","Responsible for departmental strategy, governance - including performance reporting against government commitments and business plans, and resourcing of short term, critical projects.","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS3001,648615,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1015,N/D,SCS1,"Deputy Director, GEO, Head of Delivery","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2002,0,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1016,N/D,SCS1,"Deputy Director, GEO, Head of Equality Framework","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2002,0,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1017,N/D,SCS1,"Deputy Director, Head of Finance Special Projects",Responsible for the financial management and production of the Department's annual report and accounts,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,138730,1,N/A,N/A,Finance,,
Mar-15,Senior,DCMS1018,N/D,SCS1,"Deputy Director, News and Communications",Responsible for providing media handling and communications advice to ministers and the department,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS3001,761541,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1019,N/D,SCS1,"Deputy Director, Head of Ministerial Support and Principal Private Secretary",Responsible for the overall management and successful running of the Ministers' private offices,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS3001,1140124,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1020,N/D,SCS1,"Deputy Director, Head of Media Policy and Creative Industries","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2003,665587,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1021,N/D,SCS1,"Deputy Director, Chief Economist",Responsible for delivery of analysis to support key policy areas.,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS3001,698110,1,N/A,N/A,Economics,,
Mar-15,Senior,DCMS1022,N/D,SCS1,"Deputy Director, Head of HR","HR lead with responsibility for People Strategy, organisational development, HR policies and operations","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS3001,607725,1,N/A,N/A,Human Resources,,
Mar-15,Senior,DCMS1023,N/D,SCS1,"Deputy Director, Digital Economy Unit","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2004,0,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1024,N/D,SCS1,"Deputy Director, Head of Gambling, Licensing and Lottery","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,380653,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1025,N/D,SCS1,"Deputy Director, Head of FWW Centenary and Ceremonials","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2006,476545,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1026,N/D,SCS1,"Deputy Director, Head of Spending Review",Responsible for agreeing the department's funding over the Spending Review period.,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,188488,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1027,N/D,SCS1,"Deputy Director, Consumer Policy and Telecoms Market","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2004,0,0.7,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1028,N/D,SCS1," Deputy Director, Head of Commercial","Responsible for the management of procurement, commercial and contract management activities in the Department.","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,57525,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS2001,Samantha Foley,SCS2,"Director, Finance & Commercial","Department's lead on Finance, and Chair of the Investment Committee. Director level lead on Lottery and Gambling and Evidence. Lead on Transparency.","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS4001,852954,1,90000,94999,Finance,,
Mar-15,Senior,DCMS2002,Alison Pritchard,SCS2,"Director, Government Equalities Office","Department's lead on Equalities, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,2346634,1,90000,94999,Policy,,
Mar-15,Senior,DCMS2003,Christopher Townsend,SCS2,"Chief Executive, Broadband Delivery UK",Responsible for Broadband Delivery UK achieving the delivery of superfast broadband and better mobile connectivity in the UK,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS4001,3047955,1,170000,174999,Operational Delivery,,
Mar-15,Senior,DCMS2004,Andrea Young,SCS2,"Director, Digital Economy Unit",Department's lead on Digital Economy,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2004,1332288,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS2005,Hugh Harris,SCS2,"Director - Media , International, Gambling and Creative Economy","Responsible for Media policy and regulation including Broadcast, Creative Industries, Internet policy and relationships with Ofcom and BBC.","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS4001,127098,1,90000,94999,Policy,,
Mar-15,Senior,DCMS2006,Clare Pillman,SCS2,"Director, Culture and Sport","Responsibile for Arts, Heritage, Museums and Galleries, Sports, Cultural Property, Tourism and Libraries. SRO for Philanthropy programme, English Heritage New Model and World War One Commemorations. Lead on relations with ALBs and appointments. Lead on devolution and local government","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS4001,704227,1,90000,94999,Policy,,
Mar-15,Senior,DCMS3001,Sarah Healey,SCS3,"Director General, Strategy and Analysis","Responsible for Strategy, Resourcing and Governance, Departmental Improvement and Chair of the Delivery and Resourcing Committee. Chair of People Board and lead on People issues and IT.","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS4001,967871,1,100000,104999,Policy,,
Mar-15,Senior,DCMS4001,Susan Owen,SCS4,Permanent Secretary,Accounting Officer for DCMS policy and expenditure. Chair of the Executive Board.,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS4001,701200,1,150000,154999,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Museums & ALB,,,DCMS1004,,2.6,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Museums & ALB,,,DCMS1004,,5.2,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Museums & ALB,,,DCMS1004,,5,23900,26473,Policy,,
Mar-15,Junior,,,D,Policy Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Museums & ALB,,,DCMS1004,,1,20436,21233,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Arts, Libraries and Cultural Property",,,DCMS1005,,2.6,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Arts, Libraries and Cultural Property",,,DCMS1005,,6,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Arts, Libraries and Cultural Property",,,DCMS1005,,5,23900,26473,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",WW1 & Ceremonials,,,DCMS1025,,5,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",WW1 & Ceremonials,,,DCMS1025,,5,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",WW1 & Ceremonials,,,DCMS1025,,1.83,23900,26473,Policy,,
Mar-15,Junior,,,D,Policy Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",WW1 & Ceremonials,,,DCMS1025,,1,20436,21233,Policy,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Tourism & Heritage,,,DCMS1013,,1,53494,66006,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Tourism & Heritage,,,DCMS1013,,6.81,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Tourism & Heritage,,,DCMS1013,,7,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Tourism & Heritage,,,DCMS1013,,4,23900,26473,Policy,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Public Appointments,,,DCMS2006,,1,53494,66006,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Public Appointments,,,DCMS2006,,2,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Public Appointments,,,DCMS2006,,3,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Public Appointments,,,DCMS2006,,1,23900,26473,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Sport,,,DCMS1009,,4.75,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Sport,,,DCMS1009,,9,31052,37502,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Internet & International,,,DCMS1007,,6.9,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Internet & International,,,DCMS1007,,4,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Internet & International,,,DCMS1007,,3,23900,26473,Policy,,
Mar-15,Junior,,,D,Policy Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Internet & International,,,DCMS1007,,1,20436,21233,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Media and Creative Industries,,,DCMS1020,,6.69,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Media and Creative Industries,,,DCMS1020,,6.6,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Media and Creative Industries,,,DCMS1020,,3,23900,26473,Policy,,
Mar-15,Junior,,,D,Policy Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Media and Creative Industries,,,DCMS1020,,1,20436,21233,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",BBC,,,DCMS1008,,5,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",BBC,,,DCMS1008,,2.67,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",BBC,,,DCMS1008,,1,23900,26473,Policy,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Gambling, Licensing and lottery",,,DCMS1024,,1,53494,66006,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Gambling, Licensing and lottery",,,DCMS1024,,2,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Gambling, Licensing and lottery",,,DCMS1024,,3.69,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Gambling, Licensing and lottery",,,DCMS1024,,3,23900,26473,Policy,,
Mar-15,Junior,,,D,Policy Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Gambling, Licensing and lottery",,,DCMS1024,,1,20436,21233,Policy,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Telecomms,,,DCMS2004,,5,53494,66006,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Telecomms,,,DCMS2004,,12,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Telecomms,,,DCMS2004,,6.36,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Telecomms,,,DCMS2004,,3,23900,26473,Policy,,
Mar-15,Junior,,,D,Policy Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Telecomms,,,DCMS2004,,2,20436,21233,Policy,,
Mar-15,Junior,,,A(U),Senior HR Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,,,DCMS1022,,1,53494,66006,Human Resources,,
Mar-15,Junior,,,A,Senior HR Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,,,DCMS1022,,5,47219,56243,Human Resources,,
Mar-15,Junior,,,B,HR Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,,,DCMS1022,,2,31052,37502,Human Resources,,
Mar-15,Junior,,,Fast Stream,HR Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,,,DCMS1022,,2,31052,37502,Human Resources,,
Mar-15,Junior,,,C,HR Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Human Resources,,,DCMS1022,,5.83,23900,26473,Human Resources,,
Mar-15,Junior,,,A(U),Senior Analyst,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",EAU,,,DCMS1021,,1,53494,66006,Economics,,
Mar-15,Junior,,,A,Senior Analyst,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",EAU,,,DCMS1021,,5.62,47219,56243,Economics,,
Mar-15,Junior,,,B,Analyst,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",EAU,,,DCMS1021,,2.89,31052,37502,Economics,,
Mar-15,Junior,,,Fast Stream,Analyst,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",EAU,,,DCMS1021,,6,31052,37502,Economics,,
Mar-15,Junior,,,C,Analyst,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",EAU,,,DCMS1021,,1,23900,26473,Economics,,
Mar-15,Junior,,,C,Executive Assistant,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Executive Board Support Unit,,,DCMS3001,,2.83,23900,26473,Other,,
Mar-15,Junior,,,A,Private Secretary,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",MST and Private Office,,,DCMS1019,,7,47219,56243,Policy,,
Mar-15,Junior,,,B,Correspondence Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",MST and Private Office,,,DCMS1019,,5,31052,37502,Policy,,
Mar-15,Junior,,,C,Correspondence Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",MST and Private Office,,,DCMS1019,,13,23900,26473,Policy,,
Mar-15,Junior,,,D,Correspondence Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",MST and Private Office,,,DCMS1019,,11,20436,21233,Policy,,
Mar-15,Junior,,,A(U),Senior Communications Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",News and Communications,,,DCMS1018,,1,53494,66006,Communications,,
Mar-15,Junior,,,A,Senior Communications Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",News and Communications,,,DCMS1018,,5,47219,56243,Communications,,
Mar-15,Junior,,,B,Communications Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",News and Communications,,,DCMS1018,,11.13,31052,37502,Communications,,
Mar-15,Junior,,,C,Communications Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",News and Communications,,,DCMS1018,,0.8,23900,26473,Communications,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",SGP & Projects Team,,,DCMS1014,,2,53494,66006,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",SGP & Projects Team,,,DCMS1014,,8.14,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",SGP & Projects Team,,,DCMS1014,,2,31052,37502,Policy,,
Mar-15,Junior,,,C,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",SGP & Projects Team,,,DCMS1014,,2,23900,26473,Policy,,
Mar-15,Junior,,,A,Senior Finance Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",CLOS,,,DCMS1017,,2,47219,56243,Finance,,
Mar-15,Junior,,,C,Finance Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",CLOS,,,DCMS1017,,1,23900,26473,Finance,,
Mar-15,Junior,,,A(U),Senior Finance Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Spending Review,,,DCMS1026,,1,53494,66006,Finance,,
Mar-15,Junior,,,A,Senior Finance Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Spending Review,,,DCMS1026,,2,47219,56243,Finance,,
Mar-15,Junior,,,B,Finance Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Spending Review,,,DCMS1026,,1,31052,37502,Finance,,
Mar-15,Junior,,,A(U),Senior Finance Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Finance,,,DCMS1010,,1,53494,66006,Finance,,
Mar-15,Junior,,,A,Senior Finance Manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Finance,,,DCMS1010,,1,47219,56243,Finance,,
Mar-15,Junior,,,B,Finance Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Finance,,,DCMS1010,,7,31052,37502,Finance,,
Mar-15,Junior,,,C,Finance Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Finance,,,DCMS1010,,2.86,23900,26473,Finance,,
Mar-15,Junior,,,D,Finance Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Finance,,,DCMS1010,,1,20436,21233,Finance,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Olympic and Paralympic Legacy,,,DCMS2001,,2,53494,66006,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Olympic and Paralympic Legacy,,,DCMS2001,,1,31052,37502,Policy,,
Mar-15,Junior,,,B,Procurement Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Commercial,,,DCMS1028,,1,31052,37502,Procurement,,
Mar-15,Junior,,,C,Procurement Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Commercial,,,DCMS1028,,1,23900,26473,Procurement,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Shared Services,,,DCMS2001,,1,31052,37502,Policy,,
Mar-15,Junior,,,A(U),Senior IT manager,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Estates & IT,,,DCMS2001,,1,53494,66006,Information Technology,,
Mar-15,Junior,,,B,IT Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Estates & IT,,,DCMS2001,,1,31052,37502,Information Technology,,
Mar-15,Junior,,,D,IT Support Officer,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Estates & IT,,,DCMS2001,,0.62,20436,21233,Information Technology,,
Mar-15,Junior,,,A(U),Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",BDUK,,,DCMS2003,,8,53494,66006,Policy,,
Mar-15,Junior,,,A,Senior Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",BDUK,,,DCMS2003,,31.54,47219,56243,Policy,,
Mar-15,Junior,,,B,Policy Advisor,,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",BDUK,,,DCMS2003,,5,31052,37502,Policy,,
